utrials.thisRepN,utrials.thisTrialN,utrials.thisN,utrials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,uIntrotext.started,uenter_resp.started,uenter_resp.keys,uenter_resp.rt,ukey_resp.started,Q.started,W.started,O.started,P.started,ukey_resp.keys,ukey_resp.rt,sad1.started,text_3.started,sad1.stopped,text_3.stopped,text.started,enterresp.started,enterresp.keys,enterresp.rt,Optionq.started,optionw.started,optiono.started,Optionp.started,key_resp.started,Ql.started,Wl.started,Ol.started,Pl.started,key_resp.keys,key_resp.rt,clk.started,clk.stopped,sad.started,text_2.started,sad.stopped,text_2.stopped,Optionq.stopped,optionw.stopped,optiono.stopped,Optionp.stopped,key_resp.stopped,Ql.stopped,Wl.stopped,Ol.stopped,Pl.stopped,text_4.started,Roll Number,Name,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,36.94294030009769,36.94294030009769,space,0.47900049993768334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sdfs,sdfsd,2023-04-12_22h05.50.281,bandit task,2022.2.5,144.05838364813337,
0,0,0,0,,,,,,,,,,,,,,,,,37.45467030000873,37.45467030000873,37.45467030000873,37.45467030000873,37.45467030000873,q,0.6424826998263597,38.1156282001175,38.1156282001175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sdfs,sdfsd,2023-04-12_22h05.50.281,bandit task,2022.2.5,144.05838364813337,
1,0,1,0,,,,,,,,,,,,,,,,,38.51931450003758,38.51931450003758,38.51931450003758,38.51931450003758,38.51931450003758,w,0.22940660011954606,38.75607239990495,38.75607239990495,39.15850059990771,39.15850059990771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sdfs,sdfsd,2023-04-12_22h05.50.281,bandit task,2022.2.5,144.05838364813337,
2,0,2,0,,,,,,,,,,,,,,,,,39.15850059990771,39.15850059990771,39.15850059990771,39.15850059990771,39.15850059990771,o,0.2698647999204695,39.43598730000667,39.43598730000667,39.839101700112224,39.839101700112224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sdfs,sdfsd,2023-04-12_22h05.50.281,bandit task,2022.2.5,144.05838364813337,
3,0,3,0,,,,,,,,,,,,,,,,,39.839101700112224,39.839101700112224,39.839101700112224,39.839101700112224,39.839101700112224,p,0.2134792001452297,40.063523600110784,40.063523600110784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sdfs,sdfsd,2023-04-12_22h05.50.281,bandit task,2022.2.5,144.05838364813337,
4,0,4,0,,,,,,,,,,,,,,,,,40.470869299955666,40.470869299955666,40.470869299955666,40.470869299955666,40.470869299955666,q,0.17118940013460815,40.65126350009814,40.65126350009814,41.05426719994284,41.05426719994284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sdfs,sdfsd,2023-04-12_22h05.50.281,bandit task,2022.2.5,144.05838364813337,
5,0,5,0,,,,,,,,,,,,,,,,,41.05426719994284,41.05426719994284,41.05426719994284,41.05426719994284,41.05426719994284,w,0.21672959998250008,41.28371970006265,41.28371970006265,41.68621010007337,41.68621010007337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sdfs,sdfsd,2023-04-12_22h05.50.281,bandit task,2022.2.5,144.05838364813337,
6,0,6,0,,,,,,,,,,,,,,,,,41.68621010007337,41.68621010007337,41.68621010007337,41.68621010007337,41.68621010007337,o,0.2383842000272125,41.93479739991017,41.93479739991017,42.33893309999257,42.33893309999257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sdfs,sdfsd,2023-04-12_22h05.50.281,bandit task,2022.2.5,144.05838364813337,
7,0,7,0,,,,,,,,,,,,,,,,,42.33893309999257,42.33893309999257,42.33893309999257,42.33893309999257,42.33893309999257,p,0.13724319986067712,42.48477079998702,42.48477079998702,42.88787780003622,42.88787780003622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sdfs,sdfsd,2023-04-12_22h05.50.281,bandit task,2022.2.5,144.05838364813337,
8,0,8,0,,,,,,,,,,,,,,,,,42.88787780003622,42.88787780003622,42.88787780003622,42.88787780003622,42.88787780003622,p,0.2130206001456827,43.10887819994241,43.10887819994241,43.5122573999688,43.5122573999688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sdfs,sdfsd,2023-04-12_22h05.50.281,bandit task,2022.2.5,144.05838364813337,
