newtrials.thisRepN,newtrials.thisTrialN,newtrials.thisN,newtrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,newintrotext.started,newintroresp.started,newintroresp.keys,newintroresp.rt,key_resp_2.started,reme_t.started,key_resp_2.keys,key_resp_2.rt,newkeyresp.started,nQ.started,nW.started,nO.started,nP.started,newkeyresp.keys,newkeyresp.rt,text_7.started,text.started,text_7.stopped,Roll Number,Name,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,65.87222300004214,65.87222300004214,space,0.34315999993123114,,,,,,,,,,,,,,,11dsfds,dfs,2023-04-12_22h34.32.734,bandit task,2022.2.5,143.8108139503927,
0,0,0,0,0,0,0,0,,,,,,,,,66.24204499996267,66.24204499996267,space,1.9766462000552565,,,,,,,,,,,11dsfds,dfs,2023-04-12_22h34.32.734,bandit task,2022.2.5,143.8108139503927,
0,0,0,0,,,,,,,,,,,,,,,,,68.24581409990788,68.24581409990788,68.24581409990788,68.24581409990788,68.24581409990788,q,0.7287028999999166,68.99012709991075,68.99729519989341,,11dsfds,dfs,2023-04-12_22h34.32.734,bandit task,2022.2.5,143.8108139503927,
1,0,1,0,,,,,,,,,,,,,,,,,69.40310469991527,69.40310469991527,69.40310469991527,69.40310469991527,69.40310469991527,q,0.6501929999794811,70.06032359995879,70.07374419993721,70.07374419993721,11dsfds,dfs,2023-04-12_22h34.32.734,bandit task,2022.2.5,143.8108139503927,
2,0,2,0,,,,,,,,,,,,,,,,,70.4791178999003,70.4791178999003,70.4791178999003,70.4791178999003,70.4791178999003,o,0.4235599001403898,70.91139640007168,70.92077960004099,70.92077960004099,11dsfds,dfs,2023-04-12_22h34.32.734,bandit task,2022.2.5,143.8108139503927,
3,0,3,0,,,,,,,,,,,,,,,,,71.326476899907,71.326476899907,71.326476899907,71.326476899907,71.326476899907,p,0.2774091998580843,71.6127659000922,71.62209159997292,71.62209159997292,11dsfds,dfs,2023-04-12_22h34.32.734,bandit task,2022.2.5,143.8108139503927,
4,0,4,0,,,,,,,,,,,,,,,,,72.02774360007606,72.02774360007606,72.02774360007606,72.02774360007606,72.02774360007606,q,0.3052390997763723,72.33756410004571,72.35131689999253,72.35131689999253,11dsfds,dfs,2023-04-12_22h34.32.734,bandit task,2022.2.5,143.8108139503927,
5,0,5,0,,,,,,,,,,,,,,,,,72.75693639996462,72.75693639996462,72.75693639996462,72.75693639996462,72.75693639996462,w,0.2621091001201421,73.02913339994848,73.0389060000889,73.0389060000889,11dsfds,dfs,2023-04-12_22h34.32.734,bandit task,2022.2.5,143.8108139503927,
6,0,6,0,0,0,0,0,,,,,,,,,73.44280999992043,73.44280999992043,space,3.089816000079736,,,,,,,,,,,11dsfds,dfs,2023-04-12_22h34.32.734,bandit task,2022.2.5,143.8108139503927,
6,0,6,0,,,,,,,,,,,,,,,,,76.54893349995837,76.54893349995837,76.54893349995837,76.54893349995837,76.54893349995837,q,0.522003100020811,77.08050450007431,77.09462119988166,77.09462119988166,11dsfds,dfs,2023-04-12_22h34.32.734,bandit task,2022.2.5,143.8108139503927,
7,0,7,0,,,,,,,,,,,,,,,,,77.49984649987891,77.49984649987891,77.49984649987891,77.49984649987891,77.49984649987891,w,0.2017636001110077,77.70593559998088,77.71963190007955,77.71963190007955,11dsfds,dfs,2023-04-12_22h34.32.734,bandit task,2022.2.5,143.8108139503927,
8,0,8,0,,,,,,,,,,,,,,,,,78.12480810005218,78.12480810005218,78.12480810005218,78.12480810005218,78.12480810005218,o,0.1863551998976618,78.31794169987552,78.33059899997897,78.33059899997897,11dsfds,dfs,2023-04-12_22h34.32.734,bandit task,2022.2.5,143.8108139503927,
9,0,9,0,,,,,,,,,,,,,,,,,78.73594849999063,78.73594849999063,78.73594849999063,78.73594849999063,78.73594849999063,p,0.20258009992539883,78.94862929987721,78.96240349998698,78.96240349998698,11dsfds,dfs,2023-04-12_22h34.32.734,bandit task,2022.2.5,143.8108139503927,
10,0,10,0,,,,,,,,,,,,,,,,,79.36800209991634,79.36800209991634,79.36800209991634,79.36800209991634,79.36800209991634,q,0.23053520009852946,79.60831489996053,79.6221654000692,79.6221654000692,11dsfds,dfs,2023-04-12_22h34.32.734,bandit task,2022.2.5,143.8108139503927,
11,0,11,0,,,,,,,,,,,,,,,,,80.0276881000027,80.0276881000027,80.0276881000027,80.0276881000027,80.0276881000027,w,0.23635050002485514,80.26807609992102,80.28203390003182,80.28203390003182,11dsfds,dfs,2023-04-12_22h34.32.734,bandit task,2022.2.5,143.8108139503927,
12,0,12,0,0,0,0,0,,,,,,,,,80.68638759991154,80.68638759991154,space,3.313211099943146,,,,,,,,,,,11dsfds,dfs,2023-04-12_22h34.32.734,bandit task,2022.2.5,143.8108139503927,
,,,,,,,,,,,,,,,,,,,,84.01373609993607,84.01373609993607,84.01373609993607,84.01373609993607,84.01373609993607,,,,,,,,,,,,
