newtrials.thisRepN,newtrials.thisTrialN,newtrials.thisN,newtrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,newintrotext.started,newintroresp.started,newintroresp.keys,newintroresp.rt,key_resp_2.started,reme_t.started,key_resp_2.keys,key_resp_2.rt,newkeyresp.started,nQ.started,nW.started,nO.started,nP.started,newkeyresp.keys,newkeyresp.rt,text_7.started,text.started,text_6.started,textbox.started,key_resp_3.started,textbox.text,key_resp_3.keys,key_resp_3.rt,text_2.started,text_2.stopped,text_7.stopped,text.stopped,Roll Number,Name,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,31.36477250000462,31.36477250000462,space,6.035532800015062,,,,,,,,,,,,,,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
0,0,0,0,0,0,0,0,,,,,,,,,37.45374009991065,37.45374009991065,space,1.5025899999309331,,,,,,,,,,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
0,0,0,0,,,,,,,,,,,,,,,,,39.011820500018075,39.011820500018075,39.011820500018075,39.011820500018075,39.011820500018075,q,0.800239099888131,39.83208360010758,39.8486909000203,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
1,0,1,0,,,,,,,,,,,,,,,,,40.251603099983186,40.251603099983186,40.251603099983186,40.251603099983186,40.251603099983186,q,0.5746891999151558,40.848764300113544,40.865343200042844,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
2,0,2,0,,,,,,,,,,,,,,,,,41.26825470011681,41.26825470011681,41.26825470011681,41.26825470011681,41.26825470011681,q,0.25950910011306405,41.548919999971986,41.56577580003068,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
3,0,3,0,,,,,,,,,,,,,,,,,41.96791599993594,41.96791599993594,41.96791599993594,41.96791599993594,41.96791599993594,o,0.22248149989172816,42.215327500132844,42.23204790009186,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
4,0,4,0,,,,,,,,,,,,,,,,,42.634825699962676,42.634825699962676,42.634825699962676,42.634825699962676,42.634825699962676,p,0.20960820000618696,42.86523190001026,42.88222640007734,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
5,0,5,0,,,,,,,,,,,,,,,,,43.28451419994235,43.28451419994235,43.28451419994235,43.28451419994235,43.28451419994235,o,0.2686918000690639,43.58193140011281,43.59880529996008,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
6,0,6,0,,,,,,,,,,,,,,,,,44.00181229994632,44.00181229994632,44.00181229994632,44.00181229994632,44.00181229994632,w,0.21002989984117448,44.23222930007614,44.248899600002915,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
7,0,7,0,,,,,,,,,,,,,,,,,44.651911800028756,44.651911800028756,44.651911800028756,44.651911800028756,44.651911800028756,p,0.20398620003834367,44.88190370006487,44.898601999972016,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
8,0,8,0,,,,,,,,,,,,,,,,,45.30144950002432,45.30144950002432,45.30144950002432,45.30144950002432,45.30144950002432,q,0.18397430004552007,45.498608299996704,45.51536260009743,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
9,0,9,0,,,,,,,,,,,,,,,,,45.91772000002675,45.91772000002675,45.91772000002675,45.91772000002675,45.91772000002675,o,0.24432930001057684,46.18199750012718,46.198442599968985,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
10,0,10,0,,,,,,,,,,,,,,,,,46.60200630011968,46.60200630011968,46.60200630011968,46.60200630011968,46.60200630011968,w,0.24608369986526668,46.86506260000169,46.88184990012087,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
11,0,11,0,,,,,,,,,,,,,,,,,47.28487060009502,47.28487060009502,47.28487060009502,47.28487060009502,47.28487060009502,p,0.20337369991466403,47.51514840009622,47.53182790009305,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
12,0,12,0,,,,,,,,,,,,,,,,,47.934263200033456,47.934263200033456,47.934263200033456,47.934263200033456,47.934263200033456,q,0.22187280002981424,48.18175150011666,48.19833009992726,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
13,0,13,0,,,,,,,,,,,,,,,,,48.601602900074795,48.601602900074795,48.601602900074795,48.601602900074795,48.601602900074795,o,0.1679285999853164,48.79833379993215,48.8150297999382,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
14,0,14,0,,,,,,,,,,,,,,,,,49.21761590009555,49.21761590009555,49.21761590009555,49.21761590009555,49.21761590009555,w,0.172765500145033,49.41536230011843,49.431633699918166,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
15,0,15,0,,,,,,,,,,,,,,,,,49.83446600008756,49.83446600008756,49.83446600008756,49.83446600008756,49.83446600008756,p,0.21550210006535053,50.065802600001916,50.081695900065824,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
16,0,16,0,,,,,,,,,,,,,,,,,50.484156999969855,50.484156999969855,50.484156999969855,50.484156999969855,50.484156999969855,q,0.19515449996106327,50.69835909991525,50.71509589999914,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
17,0,17,0,,,,,,,,,,,,,,,,,51.11752640013583,51.11752640013583,51.11752640013583,51.11752640013583,51.11752640013583,o,0.17318439995869994,51.315808000043035,51.331930600106716,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
18,0,18,0,,,,,,,,,,,,,,,,,51.73418790008873,51.73418790008873,51.73418790008873,51.73418790008873,51.73418790008873,w,0.18321050005033612,51.93151600006968,51.94824589998461,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
19,0,19,0,,,,,,,,,,,,,,,,,52.351059100124985,52.351059100124985,52.351059100124985,52.351059100124985,52.351059100124985,p,0.17413460020907223,52.54830519994721,52.564855800010264,,,,,,,,,,,200449,sdfsdsd,2023-04-13_19h11.30.997,bandit task,2022.2.5,60.03925369736351,
