newtrials.thisRepN,newtrials.thisTrialN,newtrials.thisN,newtrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,newintrotext.started,newintroresp.started,newintroresp.keys,newintroresp.rt,key_resp_2.started,reme_t.started,key_resp_2.keys,key_resp_2.rt,newkeyresp.started,nQ.started,nW.started,nO.started,nP.started,newkeyresp.keys,newkeyresp.rt,text_7.started,text_7.stopped,text.started,text_6.started,textbox.started,key_resp_3.started,textbox.text,key_resp_3.keys,key_resp_3.rt,text_2.started,text.stopped,Roll Number,Name,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,33.05368099990301,33.05368099990301,space,0.5946343000978231,,,,,,,,,,,,,,,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
0,0,0,0,0,0,0,0,,,,,,,,,33.66948369983584,33.66948369983584,space,4.221375199966133,,,,,,,,,,,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
0,0,0,0,,,,,,,,,,,,,,,,,37.92387629998848,37.92387629998848,37.92387629998848,37.92387629998848,37.92387629998848,q,0.7528711000923067,38.68666459992528,38.69611639995128,38.69611639995128,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
1,0,1,0,,,,,,,,,,,,,,,,,39.10158929997124,39.10158929997124,39.10158929997124,39.10158929997124,39.10158929997124,q,0.08327200007624924,39.189204999944195,39.20297019998543,39.20297019998543,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
2,0,2,0,,,,,,,,,,,,,,,,,39.60904699983075,39.60904699983075,39.60904699983075,39.60904699983075,39.60904699983075,q,0.138028500135988,39.75143840000965,39.76558779994957,39.76558779994957,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
3,0,3,0,,,,,,,,,,,,,,,,,40.171479099895805,40.171479099895805,40.171479099895805,40.171479099895805,40.171479099895805,q,0.13965050014667213,40.31524099991657,40.327905299840495,40.327905299840495,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
4,0,4,0,,,,,,,,,,,,,,,,,40.73335829982534,40.73335829982534,40.73335829982534,40.73335829982534,40.73335829982534,w,0.13874460011720657,40.88109209993854,40.89033049996942,40.89033049996942,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
5,0,5,0,,,,,,,,,,,,,,,,,41.29591650003567,41.29591650003567,41.29591650003567,41.29591650003567,41.29591650003567,o,0.1805402000900358,41.48410229990259,41.494504999835044,41.494504999835044,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
6,0,6,0,,,,,,,,,,,,,,,,,41.899973599938676,41.899973599938676,41.899973599938676,41.899973599938676,41.899973599938676,o,0.034620200050994754,41.93897889996879,41.95285749994218,41.95285749994218,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
7,0,7,0,,,,,,,,,,,,,,,,,42.35836009983905,42.35836009983905,42.35836009983905,42.35836009983905,42.35836009983905,o,0.10703249997459352,42.47381359990686,42.487740099895746,42.487740099895746,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
8,0,8,0,,,,,,,,,,,,,,,,,42.893291200045496,42.893291200045496,42.893291200045496,42.893291200045496,42.893291200045496,p,0.07014550012536347,42.97718369984068,42.987644099863246,42.987644099863246,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
9,0,9,0,,,,,,,,,,,,,,,,,43.39288219995797,43.39288219995797,43.39288219995797,43.39288219995797,43.39288219995797,q,0.06338790012523532,43.466917499899864,,43.481053799856454,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
10,0,10,0,,,,,,,,,,,,,,,,,43.88617670000531,43.88617670000531,43.88617670000531,43.88617670000531,43.88617670000531,q,0.025237400317564607,43.91822659992613,43.93200649996288,43.93200649996288,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
11,0,11,0,,,,,,,,,,,,,,,,,44.33759159990586,44.33759159990586,44.33759159990586,44.33759159990586,44.33759159990586,q,0.07610430009663105,44.4183976999484,44.43205549987033,44.43205549987033,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
