newtrials.thisRepN,newtrials.thisTrialN,newtrials.thisN,newtrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,newintrotext.started,newintroresp.started,newintroresp.keys,newintroresp.rt,key_resp_2.started,reme_t.started,key_resp_2.keys,key_resp_2.rt,newkeyresp.started,nQ.started,nW.started,nO.started,nP.started,newkeyresp.keys,newkeyresp.rt,text_7.started,text.started,text_7.stopped,text.stopped,Roll Number,Name,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,20.477426399942487,20.477426399942487,space,1.3077616998925805,,,,,,,,,,,,,,,,12121,sdfdsf,2023-04-14_09h40.12.342,bandit task,2022.2.5,145.8631744576483,
0,0,0,0,0,0,0,0,,,,,,,,,21.82225909992121,21.82225909992121,space,2.073229599976912,,,,,,,,,,,,12121,sdfdsf,2023-04-14_09h40.12.342,bandit task,2022.2.5,145.8631744576483,
0,0,0,0,,,,,,,,,,,,,,,,,23.930403199978173,23.930403199978173,23.930403199978173,23.930403199978173,23.930403199978173,q,0.845307599985972,24.79120869981125,24.798094499856234,,,12121,sdfdsf,2023-04-14_09h40.12.342,bandit task,2022.2.5,145.8631744576483,
1,0,1,0,,,,,,,,,,,,,,,,,25.204141199821606,25.204141199821606,25.204141199821606,25.204141199821606,25.204141199821606,q,0.1870627999305725,25.396722699981183,25.40947730001062,25.40947730001062,,12121,sdfdsf,2023-04-14_09h40.12.342,bandit task,2022.2.5,145.8631744576483,
2,0,2,0,,,,,,,,,,,,,,,,,25.815186999971047,25.815186999971047,25.815186999971047,25.815186999971047,25.815186999971047,q,0.2382144001312554,26.063482000026852,26.077302400022745,26.077302400022745,,12121,sdfdsf,2023-04-14_09h40.12.342,bandit task,2022.2.5,145.8631744576483,
3,0,3,0,,,,,,,,,,,,,,,,,26.481471000006422,26.481471000006422,26.481471000006422,26.481471000006422,26.481471000006422,w,0.1195591997820884,26.615675499895588,26.625434799818322,,,12121,sdfdsf,2023-04-14_09h40.12.342,bandit task,2022.2.5,145.8631744576483,
4,0,4,0,,,,,,,,,,,,,,,,,27.029562799958512,27.029562799958512,27.029562799958512,27.029562799958512,27.029562799958512,w,0.15195890003815293,27.188267499906942,27.20156929991208,27.20156929991208,,12121,sdfdsf,2023-04-14_09h40.12.342,bandit task,2022.2.5,145.8631744576483,
5,0,5,0,,,,,,,,,,,,,,,,,27.606943199876696,27.606943199876696,27.606943199876696,27.606943199876696,27.606943199876696,w,0.11876529990695417,27.736800899961963,27.749530099797994,27.749530099797994,,12121,sdfdsf,2023-04-14_09h40.12.342,bandit task,2022.2.5,145.8631744576483,
6,0,6,0,,,,,,,,,,,,,,,,,28.155341299949214,28.155341299949214,28.155341299949214,28.155341299949214,28.155341299949214,o,0.0011454001069068909,28.170487999916077,28.18119199993089,28.18119199993089,28.586288399994373,12121,sdfdsf,2023-04-14_09h40.12.342,bandit task,2022.2.5,145.8631744576483,
7,0,7,0,,,,,,,,,,,,,,,,,28.586288399994373,28.586288399994373,28.586288399994373,28.586288399994373,28.586288399994373,o,0.08484090003184974,28.682369499932975,28.694615999935195,28.694615999935195,,12121,sdfdsf,2023-04-14_09h40.12.342,bandit task,2022.2.5,145.8631744576483,
8,0,8,0,,,,,,,,,,,,,,,,,29.099618799984455,29.099618799984455,29.099618799984455,29.099618799984455,29.099618799984455,o,0.06463330006226897,29.17397389980033,29.186953200027347,29.186953200027347,,12121,sdfdsf,2023-04-14_09h40.12.342,bandit task,2022.2.5,145.8631744576483,
9,0,9,0,,,,,,,,,,,,,,,,,29.592686199815944,29.592686199815944,29.592686199815944,29.592686199815944,29.592686199815944,p,0.026927599916234612,29.631992499809712,29.641784199979156,,,12121,sdfdsf,2023-04-14_09h40.12.342,bandit task,2022.2.5,145.8631744576483,
10,0,10,0,,,,,,,,,,,,,,,,,30.043658199952915,30.043658199952915,30.043658199952915,30.043658199952915,30.043658199952915,p,0.07435230002738535,30.125908499816433,30.13858379982412,30.13858379982412,,12121,sdfdsf,2023-04-14_09h40.12.342,bandit task,2022.2.5,145.8631744576483,
11,0,11,0,,,,,,,,,,,,,,,,,30.544071099953726,30.544071099953726,30.544071099953726,30.544071099953726,30.544071099953726,p,0.08272349997423589,30.633291199803352,30.64705879986286,30.64705879986286,,12121,sdfdsf,2023-04-14_09h40.12.342,bandit task,2022.2.5,145.8631744576483,
,,,,,,,,,,,,,,,,,,,,31.050610599806532,31.050610599806532,31.050610599806532,31.050610599806532,31.050610599806532,,,,,,,,,,,,,
