utrials.thisRepN,utrials.thisTrialN,utrials.thisN,utrials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,uIntrotext.started,uenter_resp.started,uenter_resp.keys,uenter_resp.rt,ukey_resp.started,Q.started,W.started,O.started,P.started,ukey_resp.keys,ukey_resp.rt,smly.started,text_3.started,smly.stopped,text_3.stopped,text_8.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,Roll Number,Name,date,expName,psychopyVersion,frameRate,
,,,,,,,,12.204257000004873,12.204257000004873,space,9.627387299988186,,,,,,,,,,,,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
0,0,0,0,,,,,,,,,21.893871899985243,21.893871899985243,21.893871899985243,21.893871899985243,21.893871899985243,q,0.6836072000151034,22.60840319999261,22.60840319999261,,,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
1,0,1,0,,,,,,,,,23.01069359999383,23.01069359999383,23.01069359999383,23.01069359999383,23.01069359999383,q,0.16520310001214966,23.192469600006007,23.192469600006007,23.59417160000885,23.59417160000885,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
2,0,2,0,,,,,,,,,23.59417160000885,23.59417160000885,23.59417160000885,23.59417160000885,23.59417160000885,q,0.4777343000168912,24.091671300004236,24.091671300004236,24.493083000008482,24.493083000008482,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
3,0,3,0,,,,,,,,,24.493083000008482,24.493083000008482,24.493083000008482,24.493083000008482,24.493083000008482,q,0.015729200007626787,24.52548380001099,24.52548380001099,24.926644499995746,24.926644499995746,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
4,0,4,0,,,,,,,,,24.926644499995746,24.926644499995746,24.926644499995746,24.926644499995746,24.926644499995746,q,0.20249940000940114,25.158580799994525,25.158580799994525,25.559942399995634,25.559942399995634,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
5,0,5,0,,,,,,,,,25.559942399995634,25.559942399995634,25.559942399995634,25.559942399995634,25.559942399995634,q,0.0815856000117492,25.657837200007634,25.657837200007634,26.074998099997174,26.074998099997174,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
6,0,6,0,,,,,,,,,26.074998099997174,26.074998099997174,26.074998099997174,26.074998099997174,26.074998099997174,q,0.026054899994051084,26.139689200004796,26.139689200004796,,,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
7,0,7,0,,,,,,,,,26.541796600009548,26.541796600009548,26.541796600009548,26.541796600009548,26.541796600009548,q,0.15943480000714771,26.725425200012978,26.725425200012978,27.12642849999247,27.12642849999247,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
8,0,8,0,,,,,,,,,27.12642849999247,27.12642849999247,27.12642849999247,27.12642849999247,27.12642849999247,q,0.012954900012118742,27.172610000008717,27.172610000008717,,,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
9,0,9,0,,,,,,,,,27.574539199995343,27.574539199995343,27.574539199995343,27.574539199995343,27.574539199995343,q,0.0005463999987114221,27.60668070000247,27.60668070000247,28.00939640001161,28.00939640001161,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
10,0,10,0,,,,,,,,,28.00939640001161,28.00939640001161,28.00939640001161,28.00939640001161,28.00939640001161,q,0.1934715999814216,28.22348799998872,28.22348799998872,28.624070099991513,28.624070099991513,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
11,0,11,0,,,,,,,,,28.624070099991513,28.624070099991513,28.624070099991513,28.624070099991513,28.624070099991513,q,0.04025570000521839,28.68941389999236,28.68941389999236,29.09127149998676,29.09127149998676,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
12,0,12,0,,,,,,,,,29.09127149998676,29.09127149998676,29.09127149998676,29.09127149998676,29.09127149998676,q,0.021562499983701855,29.139542499993695,29.139542499993695,29.541910100000678,29.541910100000678,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
13,0,13,0,,,,,,,,,29.541910100000678,29.541910100000678,29.541910100000678,29.541910100000678,29.541910100000678,q,0.0107105000060983,29.588117500010412,29.588117500010412,,,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
14,0,14,0,,,,,,,,,29.99104530000477,29.99104530000477,29.99104530000477,29.99104530000477,29.99104530000477,q,0.21596049997606315,30.222085099987453,30.222085099987453,30.623789200006286,30.623789200006286,,,,,,,2023-04-12_11h21.35.969,bandit task,2022.2.5,59.58662374766248,
