utrials.thisRepN,utrials.thisTrialN,utrials.thisN,utrials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,uIntrotext.started,uenter_resp.started,uenter_resp.keys,uenter_resp.rt,ukey_resp.started,Q.started,W.started,O.started,P.started,ukey_resp.keys,ukey_resp.rt,smly.started,text_3.started,smly.stopped,text_3.stopped,Roll Number,Name,date,expName,psychopyVersion,frameRate,
,,,,,,,,23.16631589992903,23.16631589992903,space,1.7425537002272904,,,,,,,,,,,,dsfd,sdfs,2023-04-12_20h45.37.611,bandit task,2022.2.5,59.847842800616995,
0,0,0,0,,,,,,,,,24.959699099883437,24.959699099883437,24.959699099883437,24.959699099883437,24.959699099883437,q,0.8291631999891251,25.82101169996895,25.82101169996895,,,dsfd,sdfs,2023-04-12_20h45.37.611,bandit task,2022.2.5,59.847842800616995,
1,0,1,0,,,,,,,,,26.233392299851403,26.233392299851403,26.233392299851403,26.233392299851403,26.233392299851403,q,0.46057710028253496,26.714645399944857,26.714645399944857,27.117844299878925,27.117844299878925,dsfd,sdfs,2023-04-12_20h45.37.611,bandit task,2022.2.5,59.847842800616995,
2,0,2,0,,,,,,,,,27.117844299878925,27.117844299878925,27.117844299878925,27.117844299878925,27.117844299878925,w,0.40657450002618134,27.54775969986804,27.54775969986804,27.950387299992144,27.950387299992144,dsfd,sdfs,2023-04-12_20h45.37.611,bandit task,2022.2.5,59.847842800616995,
3,0,3,0,,,,,,,,,27.950387299992144,27.950387299992144,27.950387299992144,27.950387299992144,27.950387299992144,o,0.377935100113973,28.34790029982105,28.34790029982105,28.750035299919546,28.750035299919546,dsfd,sdfs,2023-04-12_20h45.37.611,bandit task,2022.2.5,59.847842800616995,
4,0,4,0,,,,,,,,,28.750035299919546,28.750035299919546,28.750035299919546,28.750035299919546,28.750035299919546,p,0.4257536001969129,29.197917299810797,29.197917299810797,29.60066260001622,29.60066260001622,dsfd,sdfs,2023-04-12_20h45.37.611,bandit task,2022.2.5,59.847842800616995,
5,0,5,0,,,,,,,,,29.60066260001622,29.60066260001622,29.60066260001622,29.60066260001622,29.60066260001622,q,0.3804723001085222,29.99787409999408,29.99787409999408,30.400097799953073,30.400097799953073,dsfd,sdfs,2023-04-12_20h45.37.611,bandit task,2022.2.5,59.847842800616995,
6,0,6,0,,,,,,,,,30.400097799953073,30.400097799953073,30.400097799953073,30.400097799953073,30.400097799953073,w,0.4200297000352293,30.84863009979017,30.84863009979017,31.24997349991463,31.24997349991463,dsfd,sdfs,2023-04-12_20h45.37.611,bandit task,2022.2.5,59.847842800616995,
7,0,7,0,,,,,,,,,31.24997349991463,31.24997349991463,31.24997349991463,31.24997349991463,31.24997349991463,o,0.40217780019156635,31.681733899982646,31.681733899982646,32.08336109993979,32.08336109993979,dsfd,sdfs,2023-04-12_20h45.37.611,bandit task,2022.2.5,59.847842800616995,
8,0,8,0,,,,,,,,,32.08336109993979,32.08336109993979,32.08336109993979,32.08336109993979,32.08336109993979,p,0.3146823002025485,32.41462659998797,32.41462659998797,32.817285999888554,32.817285999888554,dsfd,sdfs,2023-04-12_20h45.37.611,bandit task,2022.2.5,59.847842800616995,
9,0,9,0,,,,,,,,,32.817285999888554,32.817285999888554,32.817285999888554,32.817285999888554,32.817285999888554,q,0.37306360015645623,33.21498399996199,33.21498399996199,33.61709289997816,33.61709289997816,dsfd,sdfs,2023-04-12_20h45.37.611,bandit task,2022.2.5,59.847842800616995,
10,0,10,0,,,,,,,,,33.61709289997816,33.61709289997816,33.61709289997816,33.61709289997816,33.61709289997816,w,0.28079610015265644,33.914836699841544,33.914836699841544,34.31718909996562,34.31718909996562,dsfd,sdfs,2023-04-12_20h45.37.611,bandit task,2022.2.5,59.847842800616995,
11,0,11,0,,,,,,,,,34.31718909996562,34.31718909996562,34.31718909996562,34.31718909996562,34.31718909996562,o,0.38690920011140406,34.73103779996745,34.73103779996745,35.13303859997541,35.13303859997541,dsfd,sdfs,2023-04-12_20h45.37.611,bandit task,2022.2.5,59.847842800616995,
12,0,12,0,,,,,,,,,35.13303859997541,35.13303859997541,35.13303859997541,35.13303859997541,35.13303859997541,p,0.3454835000447929,35.49775159987621,35.49775159987621,35.89981169998646,35.89981169998646,dsfd,sdfs,2023-04-12_20h45.37.611,bandit task,2022.2.5,59.847842800616995,
13,0,13,0,,,,,,,,,35.89981169998646,35.89981169998646,35.89981169998646,35.89981169998646,35.89981169998646,q,0.3110968000255525,36.23093539988622,36.23093539988622,36.633040299871936,36.633040299871936,dsfd,sdfs,2023-04-12_20h45.37.611,bandit task,2022.2.5,59.847842800616995,
14,0,14,0,,,,,,,,,36.633040299871936,36.633040299871936,36.633040299871936,36.633040299871936,36.633040299871936,w,0.33502470003440976,36.997475099982694,36.997475099982694,37.39977139979601,37.39977139979601,dsfd,sdfs,2023-04-12_20h45.37.611,bandit task,2022.2.5,59.847842800616995,
15,0,15,0,,,,,,,,,37.39977139979601,37.39977139979601,37.39977139979601,37.39977139979601,37.39977139979601,o,0.41745110019110143,37.83086319989525,37.83086319989525,38.2331423999276,38.2331423999276,dsfd,sdfs,2023-04-12_20h45.37.611,bandit task,2022.2.5,59.847842800616995,
16,0,16,0,,,,,,,,,38.2331423999276,38.2331423999276,38.2331423999276,38.2331423999276,38.2331423999276,q,0.4516634000465274,38.7146995998919,38.7146995998919,39.11826429981738,39.11826429981738,dsfd,sdfs,2023-04-12_20h45.37.611,bandit task,2022.2.5,59.847842800616995,
17,0,17,0,,,,,,,,,39.11826429981738,39.11826429981738,39.11826429981738,39.11826429981738,39.11826429981738,p,0.3947546000126749,39.53073160001077,39.53073160001077,39.93315369985066,39.93315369985066,dsfd,sdfs,2023-04-12_20h45.37.611,bandit task,2022.2.5,59.847842800616995,
18,0,18,0,,,,,,,,,39.93315369985066,39.93315369985066,39.93315369985066,39.93315369985066,39.93315369985066,p,0.4017571001313627,40.36455779988319,40.36455779988319,40.766702299937606,40.766702299937606,dsfd,sdfs,2023-04-12_20h45.37.611,bandit task,2022.2.5,59.847842800616995,
19,0,19,0,,,,,,,,,40.766702299937606,40.766702299937606,40.766702299937606,40.766702299937606,40.766702299937606,q,0.307711300207302,41.09741679998115,41.09741679998115,41.499893199885264,41.499893199885264,dsfd,sdfs,2023-04-12_20h45.37.611,bandit task,2022.2.5,59.847842800616995,
20,0,20,0,,,,,,,,,41.499893199885264,41.499893199885264,41.499893199885264,41.499893199885264,41.499893199885264,p,0.2946310001425445,41.81458259979263,41.81458259979263,42.217149999924004,42.217149999924004,dsfd,sdfs,2023-04-12_20h45.37.611,bandit task,2022.2.5,59.847842800616995,
21,0,21,0,,,,,,,,,42.217149999924004,42.217149999924004,42.217149999924004,42.217149999924004,42.217149999924004,q,0.3521839000750333,42.59703279985115,42.59703279985115,42.999540199991316,42.999540199991316,dsfd,sdfs,2023-04-12_20h45.37.611,bandit task,2022.2.5,59.847842800616995,
22,0,22,0,,,,,,,,,42.999540199991316,42.999540199991316,42.999540199991316,42.999540199991316,42.999540199991316,w,0.31799820018932223,43.34720700001344,43.34720700001344,43.74972139997408,43.74972139997408,dsfd,sdfs,2023-04-12_20h45.37.611,bandit task,2022.2.5,59.847842800616995,
23,0,23,0,,,,,,,,,43.74972139997408,43.74972139997408,43.74972139997408,43.74972139997408,43.74972139997408,o,0.4117083002347499,44.18054490000941,44.18054490000941,44.58314140001312,44.58314140001312,dsfd,sdfs,2023-04-12_20h45.37.611,bandit task,2022.2.5,59.847842800616995,
24,0,24,0,,,,,,,,,44.58314140001312,44.58314140001312,44.58314140001312,44.58314140001312,44.58314140001312,q,0.3222964000888169,44.93039909983054,44.93039909983054,45.332747699925676,45.332747699925676,dsfd,sdfs,2023-04-12_20h45.37.611,bandit task,2022.2.5,59.847842800616995,
