utrials.thisRepN,utrials.thisTrialN,utrials.thisN,utrials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,uIntrotext.started,uenter_resp.started,uenter_resp.keys,uenter_resp.rt,ukey_resp.started,Q.started,W.started,O.started,P.started,ukey_resp.keys,ukey_resp.rt,smly.started,text_3.started,smly.stopped,text_3.stopped,text.started,enterresp.started,enterresp.keys,enterresp.rt,Optionq.started,optionw.started,optiono.started,Optionp.started,key_resp.started,Ql.started,Wl.started,Ol.started,Pl.started,Optionq.stopped,optionw.stopped,optiono.stopped,Optionp.stopped,key_resp.stopped,Ql.stopped,Wl.stopped,Ol.stopped,Pl.stopped,key_resp.keys,sadl.started,smlyl.started,smlyl.stopped,text_2.started,sadl.stopped,text_2.stopped,key_resp.rt,text_9.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Roll Number,Name,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,20.93587250006385,20.93587250006385,space,42.78264359990135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fdf,fcg,2023-04-12_21h07.04.498,bandit task,2022.2.5,143.95946113609287,
0,0,0,0,,,,,,,,,,,,,,,,,63.76833379990421,63.76833379990421,63.76833379990421,63.76833379990421,63.76833379990421,q,0.9193020998500288,64.70573700009845,64.70573700009845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fdf,fcg,2023-04-12_21h07.04.498,bandit task,2022.2.5,143.95946113609287,
1,0,1,0,,,,,,,,,,,,,,,,,65.10991180012934,65.10991180012934,65.10991180012934,65.10991180012934,65.10991180012934,w,0.2551534997764975,65.3723834999837,65.3723834999837,65.77568490011618,65.77568490011618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fdf,fcg,2023-04-12_21h07.04.498,bandit task,2022.2.5,143.95946113609287,
2,0,2,0,,,,,,,,,,,,,,,,,65.77568490011618,65.77568490011618,65.77568490011618,65.77568490011618,65.77568490011618,o,0.2622780001256615,66.04700740007684,66.04700740007684,66.44925629999489,66.44925629999489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fdf,fcg,2023-04-12_21h07.04.498,bandit task,2022.2.5,143.95946113609287,
3,0,3,0,,,,,,,,,,,,,,,,,66.44925629999489,66.44925629999489,66.44925629999489,66.44925629999489,66.44925629999489,p,0.25071480008773506,66.71185320010409,66.71185320010409,67.11617380008101,67.11617380008101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fdf,fcg,2023-04-12_21h07.04.498,bandit task,2022.2.5,143.95946113609287,
4,0,4,0,,,,,,,,,,,,,,,,,67.11617380008101,67.11617380008101,67.11617380008101,67.11617380008101,67.11617380008101,q,0.271489700069651,67.39964989991859,67.39964989991859,67.80345969996415,67.80345969996415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fdf,fcg,2023-04-12_21h07.04.498,bandit task,2022.2.5,143.95946113609287,
5,0,5,0,,,,,,,,,,,,,,,,,67.80345969996415,67.80345969996415,67.80345969996415,67.80345969996415,67.80345969996415,w,0.3329916999209672,68.14388999994844,68.14388999994844,68.54688789998181,68.54688789998181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fdf,fcg,2023-04-12_21h07.04.498,bandit task,2022.2.5,143.95946113609287,
6,0,6,0,,,,,,,,,,,,,,,,,68.54688789998181,68.54688789998181,68.54688789998181,68.54688789998181,68.54688789998181,o,0.31010080012492836,68.86486370000057,68.86486370000057,69.2688124999404,69.2688124999404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fdf,fcg,2023-04-12_21h07.04.498,bandit task,2022.2.5,143.95946113609287,
7,0,7,0,,,,,,,,,,,,,,,,,69.2688124999404,69.2688124999404,69.2688124999404,69.2688124999404,69.2688124999404,p,0.2925757998600602,69.57157139992341,69.57157139992341,69.97728180000558,69.97728180000558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fdf,fcg,2023-04-12_21h07.04.498,bandit task,2022.2.5,143.95946113609287,
8,0,8,0,,,,,,,,,,,,,,,,,69.97728180000558,69.97728180000558,69.97728180000558,69.97728180000558,69.97728180000558,p,0.28640599991194904,70.27429260010831,70.27429260010831,70.67836169991642,70.67836169991642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fdf,fcg,2023-04-12_21h07.04.498,bandit task,2022.2.5,143.95946113609287,
