utrials.thisRepN,utrials.thisTrialN,utrials.thisN,utrials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,uIntrotext.started,uenter_resp.started,uenter_resp.keys,uenter_resp.rt,ukey_resp.started,Q.started,W.started,O.started,P.started,ukey_resp.keys,ukey_resp.rt,smly.started,text_3.started,smly.stopped,text_3.stopped,text.started,enterresp.started,enterresp.keys,enterresp.rt,Optionq.started,optionw.started,optiono.started,Optionp.started,key_resp.started,Ql.started,Wl.started,Ol.started,Pl.started,Optionq.stopped,optionw.stopped,optiono.stopped,Optionp.stopped,key_resp.stopped,Ql.stopped,Wl.stopped,Ol.stopped,Pl.stopped,key_resp.keys,sadl.started,smlyl.started,smlyl.stopped,text_2.started,sadl.stopped,text_2.stopped,Roll Number,Name,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,19.705251300008968,19.705251300008968,space,2.2734003998339176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dfgfd,sdfsd,2023-04-12_21h14.49.222,bandit task,2022.2.5,144.21087076335118,
0,0,0,0,,,,,,,,,,,,,22.014424599939957,22.014424599939957,22.014424599939957,22.014424599939957,22.014424599939957,q,1.1172034998890013,23.148886600043625,23.148886600043625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dfgfd,sdfsd,2023-04-12_21h14.49.222,bandit task,2022.2.5,144.21087076335118,
1,0,1,0,,,,,,,,,,,,,23.554657300002873,23.554657300002873,23.554657300002873,23.554657300002873,23.554657300002873,w,0.2556417998857796,23.8172867000103,23.8172867000103,24.220862100133672,24.220862100133672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dfgfd,sdfsd,2023-04-12_21h14.49.222,bandit task,2022.2.5,144.21087076335118,
2,0,2,0,,,,,,,,,,,,,24.220862100133672,24.220862100133672,24.220862100133672,24.220862100133672,24.220862100133672,o,0.24924120004288852,24.478332299971953,24.478332299971953,24.881041600136086,24.881041600136086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dfgfd,sdfsd,2023-04-12_21h14.49.222,bandit task,2022.2.5,144.21087076335118,
3,0,3,0,,,,,,,,,,,,,24.881041600136086,24.881041600136086,24.881041600136086,24.881041600136086,24.881041600136086,p,0.18734350008890033,25.082015099935234,25.082015099935234,25.48447549995035,25.48447549995035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dfgfd,sdfsd,2023-04-12_21h14.49.222,bandit task,2022.2.5,144.21087076335118,
4,0,4,0,,,,,,,,,,,,,25.48447549995035,25.48447549995035,25.48447549995035,25.48447549995035,25.48447549995035,q,0.18267649970948696,25.679062300128862,25.679062300128862,26.082079000072554,26.082079000072554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dfgfd,sdfsd,2023-04-12_21h14.49.222,bandit task,2022.2.5,144.21087076335118,
5,0,5,0,,,,,,,,,,,,,26.082079000072554,26.082079000072554,26.082079000072554,26.082079000072554,26.082079000072554,w,0.13102629990316927,26.219447399955243,26.219447399955243,26.623651599977165,26.623651599977165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dfgfd,sdfsd,2023-04-12_21h14.49.222,bandit task,2022.2.5,144.21087076335118,
6,0,6,0,,,,,,,,,,,,,26.623651599977165,26.623651599977165,26.623651599977165,26.623651599977165,26.623651599977165,o,0.18950730003416538,26.82294000010006,26.82294000010006,27.2277224001009,27.2277224001009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dfgfd,sdfsd,2023-04-12_21h14.49.222,bandit task,2022.2.5,144.21087076335118,
7,0,7,0,,,,,,,,,,,,,27.2277224001009,27.2277224001009,27.2277224001009,27.2277224001009,27.2277224001009,p,0.16468869987875223,27.400784200057387,27.400784200057387,27.803773500025272,27.803773500025272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dfgfd,sdfsd,2023-04-12_21h14.49.222,bandit task,2022.2.5,144.21087076335118,
8,0,8,0,,,,,,,,,,,,,27.803773500025272,27.803773500025272,27.803773500025272,27.803773500025272,27.803773500025272,q,0.2325906998012215,28.046243299962953,28.046243299962953,28.450260299956426,28.450260299956426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dfgfd,sdfsd,2023-04-12_21h14.49.222,bandit task,2022.2.5,144.21087076335118,
